what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1446719282510
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1446719282512
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1446719282512
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1446719282512
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1446719282513
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1446719282536
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1446719282536
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1446719282537
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1446719282537
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1446719282538
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1446719282539
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1446719282550
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1446719282553
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1446719282555
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1446719282556
os,sysinfo,,,"linux",1446719282561
arch,sysinfo,,,"x86_64",1446719282561
ws,sysinfo,,,"gtk",1446719282561
locale,sysinfo,,,"en_US",1446719282561
processors,sysinfo,,,"4",1446719282561
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1446719282561
java.runtime.version,sysinfo,,,"1.7.0_85-b01",1446719282561
java.specification.name,sysinfo,,,"Java Platform API Specification",1446719282561
java.specification.vendor,sysinfo,,,"Oracle Corporation",1446719282561
java.specification.version,sysinfo,,,"1.7",1446719282561
java.vendor,sysinfo,,,"Oracle Corporation",1446719282561
java.version,sysinfo,,,"1.7.0_85",1446719282561
java.vm.info,sysinfo,,,"mixed mode",1446719282561
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1446719282561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446719282561
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1446719282561
java.vm.specification.version,sysinfo,,,"1.7",1446719282561
java.vm.vendor,sysinfo,,,"Oracle Corporation",1446719282561
java.vm.version,sysinfo,,,"24.85-b03",1446719282561
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446719306455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719345023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719417602
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1446719422850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719447511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1446719479942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1446719479943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719479986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719489294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1446719490819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1446719490819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719490854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719503047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719551901
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1446719559731
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1446719559757
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.ui",1446719559860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719559965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719576953
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1446719591637
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1446719591674
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1446719591704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719613829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719683831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719693302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719693585
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1446719699604
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1446719699625
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446719705475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719709282
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1446719716793
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1446719716836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719716986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1446719735827
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446719737987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719740252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719740797
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1446719746135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1446719751064
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446719755190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719758504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719759267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719761550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719783367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446719787031
started,bundle,org.eclipse.linuxtools.profiling.launch,0.7.0.201101251503,"org.eclipse.linuxtools.profiling.launch",1446719802344
started,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.launch",1446719802346
