what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1446620567782
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1446620567782
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1446620567783
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1446620567783
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1446620567783
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1446620567784
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1446620567784
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1446620567785
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1446620567785
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1446620567786
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1446620567787
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1446620567787
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1446620567788
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1446620567789
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1446620567790
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1446620567815
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1446620567816
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1446620567817
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1446620567818
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1446620567818
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1446620567818
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1446620567818
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1446620567819
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1446620567819
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1446620567822
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1446620567823
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1446620567824
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1446620567825
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1446620567825
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1446620567825
os,sysinfo,,,"linux",1446620567829
arch,sysinfo,,,"x86_64",1446620567829
ws,sysinfo,,,"gtk",1446620567829
locale,sysinfo,,,"en_US",1446620567829
processors,sysinfo,,,"4",1446620567830
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1446620567830
java.runtime.version,sysinfo,,,"1.7.0_85-b01",1446620567830
java.specification.name,sysinfo,,,"Java Platform API Specification",1446620567830
java.specification.vendor,sysinfo,,,"Oracle Corporation",1446620567830
java.specification.version,sysinfo,,,"1.7",1446620567830
java.vendor,sysinfo,,,"Oracle Corporation",1446620567830
java.version,sysinfo,,,"1.7.0_85",1446620567830
java.vm.info,sysinfo,,,"mixed mode",1446620567830
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1446620567830
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446620567830
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1446620567830
java.vm.specification.version,sysinfo,,,"1.7",1446620567830
java.vm.vendor,sysinfo,,,"Oracle Corporation",1446620567830
java.vm.version,sysinfo,,,"24.85-b03",1446620567830
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446620570384
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1446620570413
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1446620570431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620576902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620587368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620640281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620650250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620650925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620656590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620658662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620674383
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446620682718
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1446620683275
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1446620683293
